id,timestamp,likesCount,postUrl,commentUrl,source_file,ownerUsername,text
18101335301480169,2026-03-11T15:13:33+00:00,3007,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18101335301480169,scraping_instagram,ditjenpajakri,"Hai Kak, walau tombol di banner gabisa diklik, kakak bisa langsung mampir  coretaxdjp.pajak.go.id ya Kak #KamiDampingiSampaiBerhasil 😂"
18104435551867362,2026-03-11T10:13:05+00:00,6181,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18104435551867362,scraping_instagram,hadzidn,Sebenarnya itu tombol khusus user apple vision
17859999150665121,2026-03-11T11:00:19+00:00,4211,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=17859999150665121,scraping_instagram,addiepriwibowo,"Pantesan ratio pajak menurun, org bukannya ga mau lapor, tapi buttonnya ga bisa di klik itu"
18098381188942399,2026-03-11T09:38:35+00:00,387,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18098381188942399,scraping_instagram,fanniraz,Di refresh dulu
18111548071675125,2026-03-11T10:50:56+00:00,2132,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18111548071675125,scraping_instagram,royyandsn,"Itu design banner di web, dijadiin banner beneran, all in one sekalehh 😭"
18095726075096282,2026-03-11T10:08:40+00:00,479,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18095726075096282,scraping_instagram,fazanash,"Itu harusnya pake kacamata VR lalu klik, baru bekerja kalau kaya gitu. Emang visioner itu"
18105330439881406,2026-03-11T09:56:01+00:00,7,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18105330439881406,scraping_instagram,19.04la,Padahal bisa di ganti qr code loh
18016496903658215,2026-03-11T14:46:33+00:00,25,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18016496903658215,scraping_instagram,arifnurrokhman,Ijinkan saya klarifikasi bahwa… klik untuk lanjut
18087848393334776,2026-03-11T12:56:33+00:00,133,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18087848393334776,scraping_instagram,etalase.ayh,"Setidaknya nulis 'di sini'-nya dipisah, bukan 'disini'."
18101368043509664,2026-03-15T10:10:56+00:00,2,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18101368043509664,scraping_instagram,ayugriseldaw,Kyknya ada hidden button di balik spanduknya 😌🙏🏻 @fin.designn
18341805847209792,2026-03-11T18:21:18+00:00,300,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18341805847209792,scraping_instagram,haiday98,"Padahal kan tulisan ""klik di sini"" bisa di ganti dengan nama alamat website atau link, mereka sebenarnya tau ga sih tulisan itu bisa di edit sebelum di cetak?..
Boomer ga mau kalah yah sama genZ, ada aja gebrakan nya 😭🤌"
17858971539618678,2026-03-17T01:25:40+00:00,30,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=17858971539618678,scraping_instagram,lindungihutan,Pasti graphic designernya ketar ketir liat desain dia dicetak😭
18060480947374462,2026-03-13T15:31:48+00:00,2,https://www.instagram.com/reel/DVvT5gZgTby/,https://www.instagram.com/reel/DVvT5gZgTby/?comment_id=18060480947374462,scraping_instagram,ignatiusgalihh,"Gabisa itu, belum di hyperlink"
