id,ownerUsername,postUrl,label_pks,label_enc,confidence,text
1.85e+16,ae_iyah_azr,https://www.instagram.com/sppg.desa4sukumenanti/reel/DPAvRkhEp9E/,keluhan,0,1.0,"Kenapa makanan di taruh di bawah , marah marah marah marah .desasukumenanti ,ini salah satu SOP kebersihan lah"
1.8e+16,kikidewanti_,https://www.instagram.com/bpjskesehatan_ri/p/DMw1rKhuUZX/,keluhan,0,1.0,admin kok belum bisa di buka sih mobile jkn nya ?
1.8e+16,asep_aweuy,https://www.instagram.com/bpjskesehatan_ri/reel/DN79G7eDc7I/,pujian,2,1.0,Salam kakak Ti Asep Ku Asep Keur Balarea
1.79e+16,ristone070310,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,saran,1,1.0,Yuk aktivasi akun coretaxnya ..
1.81e+16,phoenixsarasvati,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,keluhan,0,1.0,TOLONGLAH CORETAX NYA DI benarkan PAK BUK pekerjaan KITA TERHALANG lo
1.81e+16,windabdj,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,pujian,2,1.0,Semoga coretax membawa kemudahan bagi semua
1.8e+16,nitafahwie,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,keluhan,0,1.0,"cepatan benarkan sistem nya atau batalin aja,musingin admin yang input. Login saja susah error terus bagaimana sih dana .triliun loohh marah marah"
1.79e+16,alfndtprtm,https://www.instagram.com/cekfakta.ri/p/DPIu3fvCQ4_/,keluhan,0,1.0,"Saya cari di x atau twiter, banyak banget berita swir yang tidak jelas, dan menginformasikan secara tidak fakta (hoax) senang senang senang . Program yang bagus pasti banyak yang benci, dan disinilah mereka mencari celah agar org"" terkena berita hoax, apalagi orang tua yang tergampang terkena berita hoaks terutama emak aku"
1.78e+16,masswii7,https://www.instagram.com/badangizinasional.ri/reel/DHOMwBSp49K/,pujian,2,1.0,Wah keren senang
1.79e+16,a.aylea,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,saran,1,1.0,kirim ke spatlas bpp tolong
1.81e+16,ismael_mitar,https://www.instagram.com/ditjenpajakri/p/DL1Efc8zC3I/,keluhan,0,1.0,Pak benarkan dulu saja coretax biar tidak error terus. Ini adalah mau lapor error terus. Cape banget dari awal tahun sampai sekarang error mulu. Huffet
1.81e+16,mawar15571,https://www.instagram.com/kabarmbg/p/DOfbBcvgZsH/,keluhan,0,1.0,Medan Marelan
1.79e+16,karna_pandu_karna,https://www.instagram.com/menumbg/p/DO_CPNvkkOm/,saran,1,1.0,Dari lebih SPPG yang sudah beroperasi ada SPPG yang menyebabkan masalah keracunan. Dari juta lebih penerima manfaat ada sekitar lebih penerima manfaat yang terdampak keracunan. Itu artinya apa ? Secara keseluruhan program ini sudah benar tanpa mengurangi rasa prihatin masih ada nya accident keracunan. yang perlu dilakukan hanya mengevaluasi yang buruk dan melanjutkan yang baik.
1.83e+16,anggie9379,https://www.instagram.com/sppg_prabumulihtimur/reel/DKK3gyaTxjP/,pujian,2,1.0,"sekolah dasar anak gadis nih, terima kasih untuk makan gratis nya senang"
1.81e+16,danang_chay,https://www.instagram.com/badangizinasional.ri/reel/DKbfERlJHSh/,keluhan,0,1.0,"Gambaran makhluk kalau kelebihan gizi ya kayak ketua BGN, Malah jadi tolol"
1.81e+16,nawangwoolan,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/,keluhan,0,1.0,capai banget senang senang senang
1.79e+16,bunda_borneo1323,https://www.instagram.com/bpjskesehatan_ri/reel/DNIg2bgI-l5/,keluhan,0,1.0,Kartu BPJS kembali non aktif saat akan dipakai berobat. kenapa harus selalu tiba-tiba non aktif dan ini sudah beberapa kali kejadian. saya dapat info dari petugas kelurahan setempat kalau bisa jadi karena tidak dipakai selama bulan atau bulan atau lebih. logikanya kalau kondisi sehat ya jelas tidak dipakai dong. Kan jadi tidak efisien sama sekali karena harus selalu mengaktifkan kembali kartu BPJS yang tiba-tiba jadi non aktif di akhir bulan. tolong penjelasannya apakah akan selalu seperti ini kartu BPJS tiba tiba tiba tidak aktif admin
1.8e+16,1yusss,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/,keluhan,0,1.0,lah kocak ganti malu
1.81e+16,naezzyaa,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,pujian,2,1.0,request minn senang senang
1.79e+16,ika_mrdynti,https://www.instagram.com/pajakbadsel/reel/DOxJksiE3nW/,keluhan,0,1.0,Yang sudah bisa dapat otp email kabar kabar ya huhu marah
1.79e+16,dayatcrypto,https://www.instagram.com/bpjskesehatan_ri/p/DNR7LDCsr8g/,keluhan,0,1.0,ini kenapa ya di bikin ribett untuk verifikasi wajah?? tidak bisa gagal muluu!! tolong fitur itu hapus saja dari pada bikin ribet masyarakat!
1.79e+16,ade_m_y,https://www.instagram.com/bakom.ri/reel/DPSeiXSjxEh/,keluhan,0,1.0,Gaji bayar gaji jangan omon omon doang. GAJI .ri
1.79e+16,febrydwarum,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,keluhan,0,1.0,"Ndaa bisa bisa upload faktur di coretax , jangankan upload login saja tidak bisa bisa."
1.79e+16,kelly_mount27,https://www.instagram.com/cekfakta.ri/p/DPIu3fvCQ4_/,keluhan,0,1.0,yang lebih heran lagi . dari dapur mbg yang sama di salurkan ke sekolah dan yang keracunan hanya ada di satu sekolah kan aneh
1.79e+16,irsyad_maulana23,https://www.instagram.com/badangizinasional.ri/reel/DNW4DjIyMyY/,keluhan,0,1.0,Bubar kan MBG (Makan beracun gratis)
1.81e+16,arsip_byjen,https://www.instagram.com/bpjskesehatan\_ri/p/DPxoS2YDRK5/,saran,1,1.0,admin tolong cek direct message tolong
1.81e+16,mensfashionstore.id,https://www.instagram.com/bpjskesehatan\_ri/reel/DP09dkjjZhj/,keluhan,0,1.0,capai sekali kapor bpjs sana sini sudah berkali kali masih ditagih iuran orang tua saya meninggal sejak bahkan diaplikasimya sudah ada keterangan meninggal dunia tapi tetap ditangih sampai hari ini sudah lapor ke x kekantor bpjs media sosial rekan dan lain lain tetap saja ada tagihan dan tertagih capai banget sumpah
1.79e+16,vadin04_,https://www.instagram.com/bpjskesehatan_ri/reel/DM0ICKyynJE/,pujian,2,1.0,terima kasih infonya
1.8e+16,dncathaya_,https://www.instagram.com/bakom.ri/p/DPGTdmiEqIR/,keluhan,0,1.0,"Lohh, memang tadinya enggak? senang"
1.81e+16,lindafajri_,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,pujian,2,1.0,kalau anaku menunya kayak begini pasti habis tidak akan nyisa dibawa pulang senang
1.8e+16,auliaaul.___,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,keluhan,0,1.0,sampai kapan pilihan bayar dan lapor pph nya tidak adaa??
1.81e+16,nenah_hk,https://www.instagram.com/bpjskesehatan_ri/p/DNR7LDCsr8g/,pujian,2,1.0,"Bersyukur ada BPJS,untuk saya pribadi sangat membantu sekali..pelayanan di rm sakit juga sangat baik"
1.81e+16,virgiawan40,https://www.instagram.com/bakom.ri/reel/DPVGflWj-lE/,keluhan,0,1.0,sudah ada yang m*t* habis makan MBG ya
1.79e+16,hawdump0,https://www.instagram.com/pajakbadsel/reel/DOxJksiE3nW/,keluhan,0,1.0,web kamu benarkan sekelas pemerintah.
1.79e+16,rohmat_abdul_ghony,https://www.instagram.com/ditjenpajakri/p/DLg43FBxNij/,saran,1,1.0,Tolong pajak dikurangi
1.79e+16,cornelia_niken,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,keluhan,0,1.0,Pagi mau impor data saja sudah tidak bisa marah sudah tanggal segini lo senang
1.78e+16,wafiealdora_666,https://www.instagram.com/badangizinasional.ri/p/DPD1MBfiboG/,pujian,2,1.0,yang penting bapak senang senang senang
1.8e+16,nurul_septianti,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,keluhan,0,1.0,Tombol bayar& lapor PPh & PPN masih disembunyikan min? Sampai kapan gituu??
1.81e+16,fitriantiria23,https://www.instagram.com/kabarmbg/p/DOfbBcvgZsH/,keluhan,0,1.0,yang tidak punya kenalan orang dalam bagaimana min??
1.81e+16,susibariyatun,https://www.instagram.com/badangizinasional.ri/p/DNW6qmJpVN1/,pujian,2,1.0,Dirgahayu badan gizi nasional sukses selalu
1.81e+16,dasrilwalahudin,https://www.instagram.com/bakom.ri/reel/DPNtJfPj72h/,keluhan,0,1.0,"Mental potong sana-sini enggak cocok jadi pejabat, cocoknya jadi gunting kertas saja"
1.81e+16,pakarhukumpolitik45,https://www.instagram.com/badangizinasional.ri/p/DPJClpnCa74/,keluhan,0,1.0,"saya tidak setuju, dengan MBG. Karena itu membuat siswa keracunan. Lebih baik diberhentikan anggaran MBG, dialihkan keLain nya yang Lebih bermanfaat. Jangan berfokus pada anggaran banyak, tapi dikorupsi. ini nama nya makan beracun gratis untuk siswa sekolah. .ri"
1.81e+16,fandiharlie,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,saran,1,1.0,"Semua coba pakai browser lain untuk akses coretax, infonya chrome lagi bermasalah makanya"
1.79e+16,syelbimarisa,https://www.instagram.com/bpjskesehatan_ri/reel/DNGNegXNFOK/,pujian,2,1.0,Mantap senang
1.79e+16,boyandrianto91,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,pujian,2,1.0,Aplikasinya keren memudahkan Wajib Pajak
1.79e+16,callmeats14,https://www.instagram.com/bpjskesehatan\_ri/p/DPRA3Swjdth/,pujian,2,1.0,bpjs itu kayak asuransi versi murah nya.. senang
1.84e+16,around_v95,https://www.instagram.com/badangizinasional.ri/reel/DPlllCJCW3D/,keluhan,0,1.0,Gaji Akuntan di Bayarr oi
1.79e+16,nyomannindyani,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/,keluhan,0,1.0,perhimpunan mahasiswa katolik nya prank ?
1.81e+16,sdn.117plg,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,saran,1,1.0,request kak senang senang
1.85e+16,rtaaindryani,https://www.instagram.com/bpjskesehatan\_ri/p/DOqGjSWkxvX/,saran,1,1.0,"admin kalau mengobati hiperpigmentasi pasca peradangan, apakah di cover bpjs?"
1.83e+16,ekaerfiantyputri,https://www.instagram.com/bakom.ri/p/DPGTdmiEqIR/,saran,1,1.0,"Tim Investigas harus bebas bukan dari internal tapi melibatkan pihak lain seperti organisasi kemasyarakatan, praktisi hukum,akademisi dan ahli..agar evaluasi yang dilakukan dapat dilakukann secara sistematis dan komprehensif dengan output Rekomendasi tindak lanjut..penerbitan sertifikat laik hygienis dan sebagainya tersebut juga harus dberikan sesuai dengan parameter uji bukan hanya sekadar menerbitkan secarik kertas tanpa dapat dipertanggugjwbkan.."
1.8e+16,activewearadmirer,https://www.instagram.com/ditjenpajakri/p/DGw2mA3vRuY/,keluhan,0,1.0,"IBARAT KATA DIKASIH DUIT tidak MAU, BIKIN SUSAH AJA.."
1.81e+16,doxou.155,https://www.instagram.com/bpjskesehatan_ri/reel/DOhhnPuktYM/,saran,1,1.0,"admin maaf mw bertanya saya belum pernah daptar KIS, tetapi di JKN sudah terdaftar, dan kartu indonesia sehat nya nonaktif. Cara mengaktifkan nya bagaimana min?"
1.79e+16,androdamanik_,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/,keluhan,0,1.0,"jadi fungsi nya perhimpunan mahasiswa katolik apa?, kenapa jadi tidak sesuai"
1.79e+16,poer_003,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,saran,1,1.0,Semoga CORETAX makin baik
1.8e+16,fadli_muh,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,pujian,2,1.0,kesini-sini sudah makin cepat ya responnya
1.84e+16,adamasalahnya,https://www.instagram.com/badangizinasional.ri/reel/DKbfERlJHSh/,keluhan,0,1.0,"wkwk ASAL JAWAB TANPA DATA. MINIMAL kamu BAWA AHLI GIZI benaran BUAT DAMPINGIN LU, BIAR tidak kelihatan BANGET DONGONYA."
1.8e+16,anidhaa_,https://www.instagram.com/badangizinasional.ri/p/DPnznd3iRqx/,keluhan,0,1.0,Serius nanya. di daerah kalian juga menu mbg nya tidak pernah dapat susu sama sekali? di
1.81e+16,anika_pertiwi95,https://www.instagram.com/ditjenpajakri/p/DF47sKaz8qv/,keluhan,0,1.0,Kembalikan sistem lama pajak tolong jangan membuat wajib pajak kesulitan tolong segera kami menunggu segera upload wajib pajak boleh menggunakan sistem lama marah marah
1.81e+16,kirakawai88,https://www.instagram.com/ditjenpajakri/p/DLg43FBxNij/,saran,1,1.0,"Tolong min, coretaxnya diperbaiki. sudah dari kemarin tidak bisa lapor PPN"
1.81e+16,chyapeen_,https://www.instagram.com/bpjskesehatan_ri/reel/DM0ICKyynJE/,pujian,2,1.0,terima kasih admin
1.81e+16,nurqayyuminawatiislami,https://www.instagram.com/infojkntasikmalaya/reel/DMtonq6zS_F/,saran,1,1.0,"admin tolong buka DM,"
1.79e+16,medikagaungklawu,https://www.instagram.com/bpjskesehatan\_ri/p/DOai57FgLPt/,keluhan,0,1.0,Bukan berarti diterima juga
1.81e+16,jere_myenrico,https://www.instagram.com/pajakbadsel/reel/DOxJksiE3nW/,keluhan,0,1.0,"Apa gunanya, mencari rupiah susah susah.. Masih saja disuru lapor, rumah ada pajak.. padahal HM.. Mobil juga beli OTR sudah ada pajak tiap tahun pajak lagi.. Makan pajak, dengarkan musik pajak.. Lama lama toilet pajak juga"
1.79e+16,agung_huda22,https://www.instagram.com/bpjskesehatan_ri/p/DMw1rKhuUZX/,saran,1,1.0,kapan pengumuman juara lomba cover lagu antar faskes min?
1.83e+16,erwin.ady,https://www.instagram.com/ditjenpajakri/p/DFJsv5pzk6F/,pujian,2,1.0,Aku cinta Coretax
