id,timestamp,ownerUsername,text,likesCount,postUrl,commentUrl,source_file,label_pks,confidence,text_v2,label_enc
1.79e+16,2025-09-20 10:19:08+00:00,qqloecky,"Hai min mau tanya kalo rujukan dari faskes dibatalkan, apakah masih tercantum riwayat data kita di faskes dan lanjutan?",0,https://www.instagram.com/bpjskesehatan\_ri/p/DOqGjSWkxvX/,https://www.instagram.com/bpjskesehatan\_ri/p/DOqGjSWkxvX/?comment_id=17861838993473515,instagram_comments_10.22.2025_18.55.csv,saran,1.0,admin rujukan faskes batal cantum riwayat data faskes lanjut,1
1.83e+16,2025-01-23 04:02:57+00:00,an.nisans,"Izin tanya, pembuatan npwp online sedang bermasalah kah? Terima kasih",0,https://www.instagram.com/ditjenpajakri/p/DFJsv5pzk6F/,https://www.instagram.com/ditjenpajakri/p/DFJsv5pzk6F/?comment_id=18327894490094354,instagram_comments_10.23.2025_12.41.csv,saran,1.0,izin buat npwp online masalah kah terima kasih,1
1.81e+16,2025-07-31 13:14:18+00:00,arief_abinakei,jika setelah resign bgmn cara urus agar jadi peserta mandiri bukan di bayarin kantor?,0,https://www.instagram.com/bpjskesehatan_ri/p/DMw1rKhuUZX/,https://www.instagram.com/bpjskesehatan_ri/p/DMw1rKhuUZX/?comment_id=18064620961965374,instagram_comments_10.23.2025_12.41.csv,saran,1.0,urus serta mandiri bukan_bayarkan bukan kantor,1
1.79e+16,2025-02-19 05:07:28+00:00,slstwt.o_o,😂😂😂😂😂,0,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/?comment_id=17933743343878884,instagram_comments_10.22.2025_20.09.csv,pujian,1.0,senang senang senang senang senang,2
1.79e+16,2025-01-23 04:50:10+00:00,yusnitaputrii,Gamau benerin dulu servernya?,0,https://www.instagram.com/ditjenpajakri/p/DFJsv5pzk6F/,https://www.instagram.com/ditjenpajakri/p/DFJsv5pzk6F/?comment_id=17867752455294353,instagram_comments_10.23.2025_12.41.csv,saran,1.0,tidak_benarkan tidak,1
1.81e+16,2025-10-08 13:11:42+00:00,cepkucay80,Infonya upah harian di bayar bulanan ya min? Dan dari upah nominal harian ada potongan BPJS infonya apa benar ni,1,https://www.instagram.com/badangizinasional.ri/p/DPh4wuziRU0/,https://www.instagram.com/badangizinasional.ri/p/DPh4wuziRU0/?comment_id=18082676491782974,instagram_comments_10.22.2025_21.05.csv,keluhan,1.0,info upah hari bayar bulan admin upah nominal hari potong bpjs info nih,0
1.83e+16,2025-09-14 03:17:37+00:00,sigitn85,"skema pembiayaan BPJS kesehatan dengan metode regresi linear Skema pembiayaan BPJS Kesehatan dapat dianalisis dengan metode regresi linear untuk memprediksi jumlah iuran atau biaya kesehatan berdasarkan variabel seperti tingkat pendapatan, jumlah anggota keluarga, atau jenis kelas layanan. * Analisis regresi linear dapat membantu dalam memahami bagaimana variabel-variabel tersebut memengaruhi biaya pembiayaan JKN dan memberikan dasar bagi formulasi kebijakan yang lebih efektif, meskipun metode regresi logistik lebih umum digunakan untuk klasifikasi penerima bantuan iuran. * . Iuran Peserta: Pekerja Penerima Upah (PPU): Iuran dibayar sebesar % dari gaji, dengan % dibayar oleh perusahaan dan % oleh karyawan. * Peserta Bukan Penerima Upah (PBPU): Peserta ini membayar iuran secara mandiri dan dapat memilih kelas layanan (, , atau ) berdasarkan iuran yang mereka bayarkan. * Aplikasi Regresi Linear dalam Pembiayaan BPJS Kesehatan * Memprediksi Biaya Pembiayaan: Model regresi linear dapat digunakan untuk memprediksi total biaya pembiayaan BPJS Kesehatan dengan memasukkan variabel seperti jumlah peserta, pendapatan rata-rata peserta, atau persentase peserta dalam setiap kelas layanan. * Menganalisis Pengaruh Variabel: Variabel independen seperti pendapatan per kapita, usia, atau jumlah anggota keluarga dapat dianalisis untuk melihat bagaimana pengaruhnya terhadap total iuran dan biaya kesehatan. * Contoh Aplikasi Misalnya, model regresi linear dapat dirumuskan sebagai berikut: Biaya Total = β₀ + β₁*(Jumlah Peserta) + β₂*(Pendapatan Rata-rata) + ... + ε * Di mana: Biaya Total adalah biaya pembiayaan yang diprediksi. * β₀ adalah konstanta. * β₁, β₂, dst., adalah koefisien regresi yang menunjukkan pengaruh setiap variabel independen. Jumlah Peserta dan Pendapatan Rata-rata adalah variabel independen. * ε adalah komponen error.",0,https://www.instagram.com/bpjskesehatan_ri/reel/DOhhnPuktYM/,https://www.instagram.com/bpjskesehatan_ri/reel/DOhhnPuktYM/?comment_id=18322523845234965,instagram_comments_10.22.2025_19.58.csv,saran,1.0,skema biaya bpjs sehat metode regresi linear skema biaya bpjs sehat analis metode regresi linear prediksi iuran biaya sehat dasar variabel tingkat dapat anggota keluarga jenis kelas layan analisis regresi linear bantu paham variabel variabel pengaruh biaya biaya dasar formulasi bijak efektif metode regresi logistik klasifikasi terima bantu iuran iuran serta kerja terima upah iuran bayar gaji bayar usaha karyawan serta bukan_penerima bukan upah serta bayar iuran mandiri pilih kelas layan dasar iuran bayar aplikasi regresi linear biaya bpjs sehat prediksi biaya biaya model regresi linear prediksi total biaya biaya bpjs sehat masuk variabel serta dapat serta persentase serta kelas layan analis pengaruh variabel variabel bebas dapat kapita usia anggota keluarga analis pengaruh total iuran biaya sehat contoh aplikasi model regresi linear rumus biaya total serta dapat biaya total biaya biaya prediksi konstanta koefisien regresi pengaruh variabel bebas serta dapat variabel bebas komponen error,1
1.8e+16,2025-08-25 00:01:09+00:00,kevintotomone_1001,❤️,0,https://www.instagram.com/bpjskesehatan_ri/reel/DNIg2bgI-l5/,https://www.instagram.com/bpjskesehatan_ri/reel/DNIg2bgI-l5/?comment_id=17956964366843565,instagram_comments_10.22.2025_21.05.csv,pujian,1.0,senang,2
1.8e+16,2025-02-10 10:57:36+00:00,ig_kartina98,"Hari ini baru bisa laporan ppn via coretax, tombol bayar dan lapor sudh muncul , nunggu berhari , skrngsudh bisa //",3,https://www.instagram.com/ditjenpajakri/p/DF47sKaz8qv/,https://www.instagram.com/ditjenpajakri/p/DF47sKaz8qv/?comment_id=18033984014236340,instagram_comments_10.22.2025_20.44.csv,saran,1.0,lapor via coretax tombol bayar lapor muncul tunggu hari,1
1.81e+16,2025-10-21 08:41:01+00:00,rekaabyan,Letsgo🙌,0,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/,https://www.instagram.com/ditjenpajakri/p/DPQjaH5ktZj/?comment_id=18083059576824895,instagram_comments_10.22.2025_18.55.csv,pujian,1.0,senang,2
