id,timestamp,ownerUsername,text,likesCount,postUrl,commentUrl,source_file,label_pks,confidence,text_v2,label_enc
1.79e+16,2025-09-23 06:27:57+00:00,sahrulfauzi06,"Ini rubah dong aturannya, buat yg hamil normal di RS biar bisa tercover ribet amat.",0,https://www.instagram.com/bpjskesehatan\_ri/p/DO6EIPujOYw/,https://www.instagram.com/bpjskesehatan\_ri/p/DO6EIPujOYw/?comment_id=17918047080172432,instagram_comments_10.22.2025_18.55.csv,saran,1.0,rubah atur hamil normal rumah sakit biar kover ribet,1
1.81e+16,2025-02-19 08:48:15+00:00,nadia_dwiyanti,"ubur-ubur ikan lele, deadline lapor pph udah mepet coretax masih ga support leeee",1,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/,https://www.instagram.com/ditjenpajakri/p/DGPVXd_TfYv/?comment_id=18076195369710636,instagram_comments_10.22.2025_20.09.csv,keluhan,1.0,ikan lele lapor mepet coretax tidak_support tidak,0
1.8e+16,2025-09-24 14:13:26+00:00,anuar2086,"Kalau mau ganti Sama uang saja biar pun , sehari masak mulai rumah lebih sehat ,dari pada orang bnyak yg masak",0,https://www.instagram.com/badangizinasional.ri/reel/DHOMwBSp49K/,https://www.instagram.com/badangizinasional.ri/reel/DHOMwBSp49K/?comment_id=17967417968958050,instagram_comments_10.22.2025_18.55.csv,saran,1.0,ganti uang biar hari masak rumah sehat masak,1
1.79e+16,2025-07-31 13:28:12+00:00,regina.tarigan,Mau bayar bpjs nih malah eror takut bgt kena premi 😥,0,https://www.instagram.com/bpjskesehatan_ri/p/DMw1rKhuUZX/,https://www.instagram.com/bpjskesehatan_ri/p/DMw1rKhuUZX/?comment_id=17859977874456950,instagram_comments_10.23.2025_12.41.csv,keluhan,1.0,bayar bpjs nih malah eror takut banget premi marah,0
1.81e+16,2025-06-05 07:10:30+00:00,cuma.serpihan,Min di sekolah anakku di kabupaten cirebon koq belum ada MBG ya?😢,2,https://www.instagram.com/sppg_seyegan.01/reel/DKdxfWDywLR/,https://www.instagram.com/sppg_seyegan.01/reel/DKdxfWDywLR/?comment_id=18063555704161256,instagram_comments_10.22.2025_19.40.csv,keluhan,1.0,admin sekolah anak kabupaten cirebon belum_mbg belum marah,0
1.81e+16,2025-02-21 00:52:49+00:00,anna_virsanti,"Ga usah ksh tutorial deehhh .id .go.id hari server nya CT ga bsa di buka yaaaaa !! Ga ush pada ngadi deehhh suruh kita lapor pajak 👿👿👹👹👺👺😡😡 Aplikasi trilliunan tpi bikin susah aja !! Terjadi Kesalahan muluk keterangannya 😤🤬💩 pake Aplikasi Web Faktur ajalah yg lama, lu perbaiki dan tingkatkan aja biar ga srg LEMOT !! nyusahin bgt nih si core tax 👿👹👺😡😤🤬💩",0,https://www.instagram.com/ditjenpajakri/p/DGSfW2xRWAH/,https://www.instagram.com/ditjenpajakri/p/DGSfW2xRWAH/?comment_id=18061193183495782,instagram_comments_10.22.2025_20.09.csv,keluhan,1.0,tidak_kasih tidak tutorial id go id server ct tidak_buka tidak tidak_uh tidak suruh lapor pajak marah marah marah marah marah marah marah marah aplikasi tetapi bikin susah salah muluk terang marah marah marah pakai aplikasi web faktur baik tingkat biar tidak_lemot tidak susah banget nih sih marah marah marah marah marah marah marah,0
1.81e+16,2025-09-22 03:00:53+00:00,rfqim,"Senin sampe kamis Endog, Jumat burger coy",0,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/,https://www.instagram.com/sppgcimalaka/p/DOr3qMvkwR5/?comment_id=18053716961247465,instagram_comments_10.22.2025_19.23.csv,pujian,1.0,senin kamis telur jumat,2
1.81e+16,2025-10-10 16:20:58+00:00,kucom9199,Terimakasih pak presiden dan Menkeu pak Purbaya 🙏,0,https://www.instagram.com/badangizinasional.ri/p/DPnznd3iRqx/,https://www.instagram.com/badangizinasional.ri/p/DPnznd3iRqx/?comment_id=18115181962533734,instagram_comments_10.22.2025_20.44.csv,pujian,1.0,terima kasih presiden senang,2
1.81e+16,2025-02-07 22:42:42+00:00,renmaaa_,"Itu coretax nya masuk kantong , nya buat web",0,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/,https://www.instagram.com/ditjenpajakri/p/DFwUbNzTqRU/?comment_id=18059838439796497,instagram_comments_10.22.2025_21.05.csv,keluhan,1.0,coretax kantong web,0
1.81e+16,2025-10-19 17:22:27+00:00,minyakbekasbandung,Yuk dapur yg mau kerjasama jelantahnya langsung dm/wa,0,https://www.instagram.com/badangizinasional.ri/p/DPh4wuziRU0/,https://www.instagram.com/badangizinasional.ri/p/DPh4wuziRU0/?comment_id=18130371430481168,instagram_comments_10.22.2025_21.05.csv,saran,1.0,yuk dapur jelantah wa,1
